FIR_ID,Timestamp,City,State,Address,Latitude,Longitude,Crime_Type,IPC_Section,Police_Station,Status
FIR1016,2023-03-12 08:47:03,Kolkata,West Bengal,"129 Gali, Kolkata, West Bengal",22.336014,88.214684,Harassment,IPC 420,Gurgaon East,Under Investigation
FIR1017,2024-09-24 21:51:22,Chennai,Tamil Nadu,"534 Sector, Chennai, Tamil Nadu",13.235896,80.084396,Assault,IPC 363,Noida Sector 20,Charge Sheet Filed
FIR1018,2023-11-14 20:34:48,Jaipur,Rajasthan,"135 Gali, Jaipur, Rajasthan",26.871086,75.725474,Assault,IPC 323,Lajpat Nagar,Closed
FIR1019,2025-05-06 10:28:36,Chennai,Tamil Nadu,"203 Sector, Chennai, Tamil Nadu",13.174198,80.347244,Dowry,IPC 323,Lajpat Nagar,Charge Sheet Filed
FIR1020,2024-01-10 00:25:42,Kolkata,West Bengal,"242 Main Road, Kolkata, West Bengal",22.766495,88.564966,Kidnapping,IPC 363,Noida Sector 20,Charge Sheet Filed
FIR1021,2023-05-14 01:57:02,Jaipur,Rajasthan,"749 Sector, Jaipur, Rajasthan",26.717467,75.525653,Burglary,IPC 323,Dwarka,Charge Sheet Filed
FIR1022,2023-02-12 11:23:16,Prayagraj,Uttar Pradesh,"656 Sector, Prayagraj, Uttar Pradesh",25.165601,81.620198,Harassment,IPC 498A,RK Puram,Under Investigation
FIR1023,2024-08-24 04:56:17,Srinagar,Jammu & Kashmir,"368 Main Road, Srinagar, Jammu & Kashmir",33.820577,74.507225,Dowry,IPC 498A,Lajpat Nagar,Charge Sheet Filed
FIR1024,2024-04-27 00:04:17,Srinagar,Jammu & Kashmir,"443 Gali, Srinagar, Jammu & Kashmir",34.304778,75.083606,Burglary,IPC 376,Noida Sector 20,Closed
FIR1025,2024-07-14 14:15:50,Hyderabad,Telangana,"416 Sector, Hyderabad, Telangana",17.359066,78.300868,Assault,IPC 420,Chanakyapuri,Charge Sheet Filed
FIR1026,2025-12-28 15:10:00,Kolkata,West Bengal,"933 Gali, Kolkata, West Bengal",22.553418,88.343323,Dowry,IPC 498A,Gurgaon East,Charge Sheet Filed
FIR1027,2025-05-17 04:46:05,Mumbai,Maharashtra,"693 Gali, Mumbai, Maharashtra",19.277725,72.803591,Theft,IPC 302,Noida Sector 20,Charge Sheet Filed
FIR1028,2025-05-27 22:08:32,Prayagraj,Uttar Pradesh,"845 Sector, Prayagraj, Uttar Pradesh",25.721437,82.009876,Burglary,IPC 420,RK Puram,Closed
FIR1029,2025-12-15 12:40:57,Bangalore,Karnataka,"471 Gali, Bangalore, Karnataka",12.717757,77.296706,Assault,IPC 498A,Karol Bagh,Charge Sheet Filed
FIR1030,2024-05-15 19:23:56,Chennai,Tamil Nadu,"706 Main Road, Chennai, Tamil Nadu",13.329491,80.235463,Murder,IPC 498A,Gurgaon East,Charge Sheet Filed
FIR1031,2025-04-16 15:48:20,Kolkata,West Bengal,"919 Main Road, Kolkata, West Bengal",22.584203,88.510694,Harassment,IPC 392,Chanakyapuri,Under Investigation
FIR1032,2023-10-18 23:16:59,Delhi,Delhi,"860 Main Road, Delhi, Delhi",28.766515,77.042168,Burglary,IPC 420,Dwarka,Charge Sheet Filed
FIR1033,2025-12-06 22:30:33,Guwahati,Assam,"702 Main Road, Guwahati, Assam",26.382705,91.713392,Dowry,IPC 323,Karol Bagh,Under Investigation
FIR1034,2024-04-22 12:59:18,Patna,Bihar,"753 Sector, Patna, Bihar",25.551861,84.881047,Kidnapping,IPC 363,Karol Bagh,Under Investigation
FIR1035,2023-04-19 08:45:15,Kolkata,West Bengal,"228 Sector, Kolkata, West Bengal",22.824096,88.202548,Theft,IPC 363,Gurgaon East,Charge Sheet Filed
FIR1036,2024-02-28 00:19:24,Lucknow,Uttar Pradesh,"486 Gali, Lucknow, Uttar Pradesh",26.738684,80.750291,Assault,IPC 498A,Gurgaon East,Charge Sheet Filed
FIR1037,2023-08-31 10:41:11,Bangalore,Karnataka,"348 Gali, Bangalore, Karnataka",12.998743,77.38276,Assault,IPC 376,Chanakyapuri,Under Investigation
FIR1038,2024-02-16 18:53:06,Jaipur,Rajasthan,"493 Sector, Jaipur, Rajasthan",26.65028,76.04569,Harassment,IPC 363,Chanakyapuri,Closed
FIR1039,2025-05-27 12:41:31,Delhi,Delhi,"365 Gali, Delhi, Delhi",28.744434,77.009789,Fraud,IPC 302,Karol Bagh,Charge Sheet Filed
FIR1040,2025-04-24 14:30:19,Lucknow,Uttar Pradesh,"721 Sector, Lucknow, Uttar Pradesh",26.780028,81.179885,Dowry,IPC 363,RK Puram,Charge Sheet Filed
FIR1041,2023-11-09 07:01:18,Jaipur,Rajasthan,"691 Main Road, Jaipur, Rajasthan",26.85976,76.002101,Dowry,IPC 420,Chanakyapuri,Charge Sheet Filed
FIR1042,2024-11-23 07:12:39,Lucknow,Uttar Pradesh,"553 Sector, Lucknow, Uttar Pradesh",26.684172,81.117675,Harassment,IPC 420,Dwarka,Under Investigation
FIR1043,2025-09-17 02:19:24,Hyderabad,Telangana,"501 Sector, Hyderabad, Telangana",17.31983,78.45381,Harassment,IPC 498A,Lajpat Nagar,Under Investigation
FIR1044,2023-02-18 20:14:42,Bangalore,Karnataka,"319 Gali, Bangalore, Karnataka",12.975403,77.456478,Murder,IPC 376,RK Puram,Closed
FIR1045,2025-01-30 02:26:33,Kolkata,West Bengal,"550 Sector, Kolkata, West Bengal",22.319685,88.466787,Murder,IPC 363,RK Puram,Charge Sheet Filed
FIR1046,2023-12-27 17:53:55,Delhi,Delhi,"148 Main Road, Delhi, Delhi",28.469742,77.363776,Harassment,IPC 363,Noida Sector 20,Closed
FIR1047,2025-03-09 17:17:57,Mumbai,Maharashtra,"510 Main Road, Mumbai, Maharashtra",19.063303,73.012895,Assault,IPC 323,Gurgaon East,Charge Sheet Filed
FIR1048,2025-08-06 03:30:09,Mumbai,Maharashtra,"834 Gali, Mumbai, Maharashtra",19.341738,72.690093,Assault,IPC 420,Dwarka,Under Investigation
FIR1049,2024-04-17 04:28:40,Guwahati,Assam,"580 Main Road, Guwahati, Assam",26.162251,91.519649,Kidnapping,IPC 498A,Lajpat Nagar,Closed
FIR1050,2025-02-20 20:42:55,Prayagraj,Uttar Pradesh,"950 Main Road, Prayagraj, Uttar Pradesh",25.681984,81.678922,Kidnapping,IPC 323,Lajpat Nagar,Charge Sheet Filed
FIR1051,2024-12-03 05:08:41,Guwahati,Assam,"119 Sector, Guwahati, Assam",26.111745,91.600779,Kidnapping,IPC 363,Dwarka,Charge Sheet Filed
FIR1052,2024-07-20 11:37:22,Guwahati,Assam,"908 Main Road, Guwahati, Assam",26.209273,91.589362,Murder,IPC 498A,RK Puram,Charge Sheet Filed
FIR1053,2024-12-25 00:30:02,Chennai,Tamil Nadu,"661 Sector, Chennai, Tamil Nadu",12.948702,80.257165,Theft,IPC 302,RK Puram,Under Investigation
FIR1054,2025-05-05 04:21:45,Guwahati,Assam,"271 Gali, Guwahati, Assam",25.87813,91.579945,Assault,IPC 363,Noida Sector 20,Charge Sheet Filed
FIR1055,2025-05-17 01:32:56,Patna,Bihar,"434 Main Road, Patna, Bihar",25.452222,85.211615,Murder,IPC 323,Karol Bagh,Closed
FIR1056,2025-07-10 02:57:26,Delhi,Delhi,"362 Gali, Delhi, Delhi",28.551072,77.405468,Murder,IPC 376,Karol Bagh,Closed
FIR1057,2025-06-09 23:09:46,Lucknow,Uttar Pradesh,"723 Gali, Lucknow, Uttar Pradesh",27.02135,81.02999,Theft,IPC 302,RK Puram,Closed
FIR1058,2025-03-08 12:47:22,Srinagar,Jammu & Kashmir,"449 Sector, Srinagar, Jammu & Kashmir",33.847414,75.003702,Burglary,IPC 376,Chanakyapuri,Charge Sheet Filed
FIR1059,2023-09-04 02:34:17,Lucknow,Uttar Pradesh,"450 Sector, Lucknow, Uttar Pradesh",26.724667,80.875611,Assault,IPC 420,RK Puram,Charge Sheet Filed
FIR1060,2024-05-19 15:10:05,Guwahati,Assam,"835 Main Road, Guwahati, Assam",26.310008,91.556796,Dowry,IPC 302,Chanakyapuri,Closed
FIR1061,2024-11-06 08:27:55,Mumbai,Maharashtra,"317 Main Road, Mumbai, Maharashtra",19.070899,73.0575,Theft,IPC 498A,RK Puram,Charge Sheet Filed
FIR1062,2023-11-23 07:53:29,Patna,Bihar,"606 Main Road, Patna, Bihar",25.495947,85.407747,Theft,IPC 363,RK Puram,Under Investigation
FIR1063,2024-10-10 16:47:01,Srinagar,Jammu & Kashmir,"933 Gali, Srinagar, Jammu & Kashmir",34.272416,74.81709,Assault,IPC 363,Lajpat Nagar,Closed
FIR1064,2025-08-18 17:16:01,Hyderabad,Telangana,"243 Sector, Hyderabad, Telangana",17.562827,78.560465,Harassment,IPC 420,Gurgaon East,Charge Sheet Filed
FIR1065,2023-02-02 14:59:40,Kolkata,West Bengal,"403 Sector, Kolkata, West Bengal",22.691829,88.143929,Burglary,IPC 392,RK Puram,Charge Sheet Filed
FIR1066,2024-08-29 11:55:23,Patna,Bihar,"249 Gali, Patna, Bihar",25.49143,85.020027,Cyber Crime,IPC 420,Lajpat Nagar,Under Investigation
FIR1067,2024-03-16 10:12:22,Delhi,Delhi,"325 Gali, Delhi, Delhi",28.7041,77.41365,Theft,IPC 302,Chanakyapuri,Charge Sheet Filed
FIR1068,2025-05-28 13:34:45,Delhi,Delhi,"689 Sector, Delhi, Delhi",28.799497,77.105398,Cyber Crime,IPC 363,Dwarka,Under Investigation
FIR1069,2023-12-25 22:58:47,Lucknow,Uttar Pradesh,"695 Sector, Lucknow, Uttar Pradesh",27.104478,80.824486,Assault,IPC 302,Lajpat Nagar,Charge Sheet Filed
FIR1070,2024-01-04 23:34:09,Kolkata,West Bengal,"224 Sector, Kolkata, West Bengal",22.320867,88.461793,Assault,IPC 323,Karol Bagh,Charge Sheet Filed
FIR1071,2023-09-29 03:57:22,Jaipur,Rajasthan,"590 Gali, Jaipur, Rajasthan",26.81086,75.546689,Theft,IPC 363,Gurgaon East,Charge Sheet Filed
FIR1072,2024-01-16 21:25:37,Mumbai,Maharashtra,"673 Main Road, Mumbai, Maharashtra",18.899266,72.85126,Kidnapping,IPC 363,Chanakyapuri,Under Investigation
FIR1073,2025-06-20 05:31:50,Chennai,Tamil Nadu,"886 Sector, Chennai, Tamil Nadu",12.846535,80.565618,Assault,IPC 323,Karol Bagh,Under Investigation
FIR1074,2025-02-04 22:48:34,Hyderabad,Telangana,"366 Sector, Hyderabad, Telangana",17.141684,78.196606,Kidnapping,IPC 498A,Lajpat Nagar,Charge Sheet Filed
FIR1075,2025-10-27 08:14:19,Kolkata,West Bengal,"309 Main Road, Kolkata, West Bengal",22.501147,88.57341,Murder,IPC 420,Gurgaon East,Closed
FIR1076,2023-01-14 08:57:09,Lucknow,Uttar Pradesh,"185 Gali, Lucknow, Uttar Pradesh",27.113619,80.970874,Harassment,IPC 363,Gurgaon East,Under Investigation
FIR1077,2023-09-01 02:28:17,Lucknow,Uttar Pradesh,"920 Sector, Lucknow, Uttar Pradesh",26.790254,80.785275,Fraud,IPC 302,RK Puram,Under Investigation
FIR1078,2025-05-28 04:06:23,Delhi,Delhi,"498 Gali, Delhi, Delhi",28.759531,77.192552,Harassment,IPC 363,Noida Sector 20,Charge Sheet Filed
FIR1079,2025-04-26 09:41:27,Mumbai,Maharashtra,"179 Main Road, Mumbai, Maharashtra",18.965399,72.877334,Theft,IPC 376,Karol Bagh,Closed
FIR1080,2023-10-30 09:17:49,Delhi,Delhi,"759 Main Road, Delhi, Delhi",28.820492,76.979229,Fraud,IPC 302,Gurgaon East,Charge Sheet Filed
FIR1081,2025-05-19 03:58:31,Mumbai,Maharashtra,"950 Gali, Mumbai, Maharashtra",19.296104,72.912855,Cyber Crime,IPC 392,Lajpat Nagar,Charge Sheet Filed
FIR1082,2023-05-20 10:04:16,Mumbai,Maharashtra,"771 Gali, Mumbai, Maharashtra",19.163838,73.115541,Kidnapping,IPC 302,RK Puram,Under Investigation
FIR1083,2023-09-29 22:59:09,Patna,Bihar,"373 Sector, Patna, Bihar",25.596401,85.262549,Cyber Crime,IPC 302,Dwarka,Under Investigation
FIR1084,2025-11-25 15:48:04,Mumbai,Maharashtra,"374 Main Road, Mumbai, Maharashtra",19.326283,72.67098,Assault,IPC 392,Gurgaon East,Closed
FIR1085,2025-04-11 15:45:44,Lucknow,Uttar Pradesh,"982 Gali, Lucknow, Uttar Pradesh",26.937043,80.827282,Burglary,IPC 302,Gurgaon East,Closed
FIR1086,2024-08-29 08:14:24,Lucknow,Uttar Pradesh,"542 Main Road, Lucknow, Uttar Pradesh",26.852798,81.240633,Burglary,IPC 376,Karol Bagh,Charge Sheet Filed
FIR1087,2024-02-08 04:01:19,Patna,Bihar,"928 Main Road, Patna, Bihar",25.375647,85.393001,Kidnapping,IPC 392,Noida Sector 20,Charge Sheet Filed
FIR1088,2025-02-14 06:06:22,Guwahati,Assam,"499 Sector, Guwahati, Assam",26.218864,91.915293,Theft,IPC 420,Karol Bagh,Closed
FIR1089,2023-11-13 20:09:58,Jaipur,Rajasthan,"185 Sector, Jaipur, Rajasthan",27.185108,75.967288,Harassment,IPC 363,Noida Sector 20,Charge Sheet Filed
FIR1090,2023-04-23 21:24:11,Patna,Bihar,"931 Main Road, Patna, Bihar",25.809776,85.307294,Burglary,IPC 392,RK Puram,Closed
FIR1091,2025-12-08 10:07:42,Lucknow,Uttar Pradesh,"767 Sector, Lucknow, Uttar Pradesh",26.756067,81.132359,Assault,IPC 392,RK Puram,Closed
FIR1092,2025-01-12 00:54:25,Mumbai,Maharashtra,"706 Main Road, Mumbai, Maharashtra",19.304922,72.803475,Cyber Crime,IPC 392,Chanakyapuri,Under Investigation
FIR1093,2023-08-31 22:43:12,Hyderabad,Telangana,"200 Sector, Hyderabad, Telangana",17.137291,78.22796,Cyber Crime,IPC 420,Lajpat Nagar,Closed
FIR1094,2024-05-18 01:38:53,Delhi,Delhi,"523 Main Road, Delhi, Delhi",28.734333,77.115412,Kidnapping,IPC 420,RK Puram,Charge Sheet Filed
FIR1095,2023-10-29 22:39:59,Bangalore,Karnataka,"528 Main Road, Bangalore, Karnataka",12.794346,77.355105,Murder,IPC 363,RK Puram,Closed
FIR1096,2024-08-14 01:55:35,Lucknow,Uttar Pradesh,"841 Main Road, Lucknow, Uttar Pradesh",26.912487,80.966914,Fraud,IPC 498A,Dwarka,Closed
FIR1097,2024-08-21 03:40:10,Kolkata,West Bengal,"347 Sector, Kolkata, West Bengal",22.720173,88.605269,Fraud,IPC 323,Dwarka,Closed
FIR1098,2025-01-03 06:35:19,Delhi,Delhi,"612 Main Road, Delhi, Delhi",28.680848,76.989268,Assault,IPC 302,Gurgaon East,Closed
FIR1099,2024-08-28 13:56:17,Mumbai,Maharashtra,"635 Main Road, Mumbai, Maharashtra",19.012398,73.170925,Theft,IPC 323,Gurgaon East,Under Investigation
FIR1100,2025-05-19 01:13:39,Lucknow,Uttar Pradesh,"106 Gali, Lucknow, Uttar Pradesh",26.725771,80.915,Kidnapping,IPC 302,Gurgaon East,Under Investigation
FIR1101,2025-07-09 06:16:48,Hyderabad,Telangana,"974 Sector, Hyderabad, Telangana",17.33664,78.407496,Harassment,IPC 392,RK Puram,Charge Sheet Filed
FIR1102,2023-10-28 19:05:31,Guwahati,Assam,"318 Sector, Guwahati, Assam",26.166684,91.564489,Theft,IPC 302,Gurgaon East,Closed
FIR1103,2025-05-21 16:04:33,Prayagraj,Uttar Pradesh,"370 Sector, Prayagraj, Uttar Pradesh",25.170452,81.69858,Theft,IPC 302,RK Puram,Closed
FIR1104,2024-07-18 08:26:09,Bangalore,Karnataka,"190 Sector, Bangalore, Karnataka",12.967892,77.479029,Kidnapping,IPC 420,Chanakyapuri,Closed
FIR1105,2024-08-07 15:07:11,Mumbai,Maharashtra,"707 Main Road, Mumbai, Maharashtra",18.825453,72.623058,Murder,IPC 376,Karol Bagh,Charge Sheet Filed
FIR1106,2023-08-30 04:24:07,Prayagraj,Uttar Pradesh,"706 Gali, Prayagraj, Uttar Pradesh",25.152102,81.814938,Assault,IPC 363,Lajpat Nagar,Under Investigation
FIR1107,2025-09-29 01:43:07,Guwahati,Assam,"487 Main Road, Guwahati, Assam",26.217173,91.801559,Cyber Crime,IPC 392,Chanakyapuri,Closed
FIR1108,2023-03-08 18:07:41,Lucknow,Uttar Pradesh,"218 Gali, Lucknow, Uttar Pradesh",27.133352,81.031902,Murder,IPC 420,Karol Bagh,Charge Sheet Filed
FIR1109,2025-05-21 06:06:42,Kolkata,West Bengal,"799 Gali, Kolkata, West Bengal",22.726355,88.355495,Burglary,IPC 392,Chanakyapuri,Closed
FIR1110,2025-03-07 12:07:14,Chennai,Tamil Nadu,"877 Gali, Chennai, Tamil Nadu",13.086817,80.246069,Burglary,IPC 363,Gurgaon East,Closed
FIR1111,2024-07-17 02:22:56,Patna,Bihar,"678 Main Road, Patna, Bihar",25.628883,85.164243,Dowry,IPC 392,Lajpat Nagar,Closed
FIR1112,2025-08-06 04:00:00,Patna,Bihar,"179 Main Road, Patna, Bihar",25.550366,84.933153,Assault,IPC 376,Noida Sector 20,Under Investigation
FIR1113,2023-10-15 11:50:21,Kolkata,West Bengal,"947 Main Road, Kolkata, West Bengal",22.359108,88.335895,Kidnapping,IPC 498A,Karol Bagh,Charge Sheet Filed
FIR1114,2023-04-29 10:27:26,Hyderabad,Telangana,"751 Gali, Hyderabad, Telangana",17.393797,78.51898,Murder,IPC 302,Karol Bagh,Under Investigation
FIR1115,2023-12-23 12:24:55,Prayagraj,Uttar Pradesh,"453 Sector, Prayagraj, Uttar Pradesh",25.223285,81.683134,Kidnapping,IPC 420,Karol Bagh,Closed
FIR1116,2025-08-08 10:56:19,Guwahati,Assam,"485 Sector, Guwahati, Assam",25.866363,91.476633,Cyber Crime,IPC 376,Karol Bagh,Closed
FIR1117,2025-01-24 14:28:50,Kolkata,West Bengal,"196 Main Road, Kolkata, West Bengal",22.86331,88.323195,Dowry,IPC 376,Gurgaon East,Under Investigation
FIR1118,2024-08-22 22:52:45,Patna,Bihar,"594 Main Road, Patna, Bihar",25.459274,85.008155,Kidnapping,IPC 363,Lajpat Nagar,Closed
FIR1119,2025-01-27 17:06:33,Bangalore,Karnataka,"366 Sector, Bangalore, Karnataka",13.151414,77.543559,Harassment,IPC 392,Chanakyapuri,Under Investigation
FIR1120,2023-07-02 16:43:36,Patna,Bihar,"974 Sector, Patna, Bihar",25.337453,85.392551,Fraud,IPC 420,Lajpat Nagar,Charge Sheet Filed
FIR1121,2023-09-28 06:27:38,Patna,Bihar,"596 Main Road, Patna, Bihar",25.43594,84.998487,Dowry,IPC 323,Gurgaon East,Charge Sheet Filed
FIR1122,2024-02-24 20:59:35,Srinagar,Jammu & Kashmir,"731 Gali, Srinagar, Jammu & Kashmir",34.259853,74.994832,Cyber Crime,IPC 420,Chanakyapuri,Closed
FIR1123,2023-01-14 00:06:12,Jaipur,Rajasthan,"610 Gali, Jaipur, Rajasthan",26.710262,76.006523,Harassment,IPC 420,Karol Bagh,Under Investigation
FIR1124,2024-09-04 16:35:14,Lucknow,Uttar Pradesh,"123 Main Road, Lucknow, Uttar Pradesh",26.823495,80.814904,Theft,IPC 498A,Gurgaon East,Under Investigation
FIR1125,2025-07-18 09:48:21,Bangalore,Karnataka,"149 Gali, Bangalore, Karnataka",12.737967,77.854933,Assault,IPC 376,Lajpat Nagar,Charge Sheet Filed
FIR1126,2024-01-25 16:39:40,Kolkata,West Bengal,"346 Main Road, Kolkata, West Bengal",22.812014,88.577294,Theft,IPC 363,Gurgaon East,Charge Sheet Filed
FIR1127,2023-06-08 04:20:20,Mumbai,Maharashtra,"596 Gali, Mumbai, Maharashtra",19.098883,73.030976,Fraud,IPC 376,Dwarka,Charge Sheet Filed
FIR1128,2025-07-13 22:43:54,Delhi,Delhi,"283 Sector, Delhi, Delhi",28.696081,77.428391,Cyber Crime,IPC 376,Karol Bagh,Closed
FIR1129,2025-01-17 19:34:10,Delhi,Delhi,"604 Sector, Delhi, Delhi",28.573366,77.216993,Dowry,IPC 302,RK Puram,Charge Sheet Filed
FIR1130,2024-12-29 04:00:36,Kolkata,West Bengal,"592 Main Road, Kolkata, West Bengal",22.665933,88.107166,Burglary,IPC 302,Karol Bagh,Closed
FIR1131,2025-07-01 18:03:47,Srinagar,Jammu & Kashmir,"897 Sector, Srinagar, Jammu & Kashmir",33.875762,74.651186,Kidnapping,IPC 363,Dwarka,Closed
FIR1132,2023-09-25 09:00:13,Chennai,Tamil Nadu,"704 Sector, Chennai, Tamil Nadu",13.154721,80.184798,Dowry,IPC 392,RK Puram,Charge Sheet Filed
FIR1133,2023-11-26 04:34:04,Chennai,Tamil Nadu,"932 Main Road, Chennai, Tamil Nadu",12.887252,80.393309,Cyber Crime,IPC 323,Gurgaon East,Charge Sheet Filed
FIR1134,2023-09-28 02:19:13,Chennai,Tamil Nadu,"666 Sector, Chennai, Tamil Nadu",12.905439,80.062033,Dowry,IPC 376,RK Puram,Under Investigation
FIR1135,2025-10-21 08:19:36,Patna,Bihar,"868 Sector, Patna, Bihar",25.515002,85.230509,Assault,IPC 363,Karol Bagh,Closed
FIR1136,2024-05-17 05:34:46,Hyderabad,Telangana,"186 Main Road, Hyderabad, Telangana",17.267933,78.227576,Cyber Crime,IPC 363,Chanakyapuri,Charge Sheet Filed
FIR1137,2023-08-23 18:58:19,Prayagraj,Uttar Pradesh,"952 Sector, Prayagraj, Uttar Pradesh",25.50829,81.772749,Dowry,IPC 302,Dwarka,Charge Sheet Filed
FIR1138,2025-11-08 11:23:46,Patna,Bihar,"373 Sector, Patna, Bihar",25.622801,84.962004,Cyber Crime,IPC 302,Lajpat Nagar,Charge Sheet Filed
FIR1139,2023-11-24 02:30:42,Mumbai,Maharashtra,"717 Main Road, Mumbai, Maharashtra",19.116657,72.593763,Assault,IPC 323,Chanakyapuri,Closed
FIR1140,2024-04-01 22:59:14,Lucknow,Uttar Pradesh,"937 Sector, Lucknow, Uttar Pradesh",27.048323,81.106807,Burglary,IPC 363,Karol Bagh,Closed
FIR1141,2025-05-15 15:47:10,Hyderabad,Telangana,"986 Gali, Hyderabad, Telangana",17.636104,78.455965,Assault,IPC 420,Chanakyapuri,Under Investigation
FIR1142,2024-06-24 22:13:32,Guwahati,Assam,"934 Main Road, Guwahati, Assam",26.178723,91.861353,Assault,IPC 498A,Gurgaon East,Charge Sheet Filed
FIR1143,2023-06-27 05:55:35,Mumbai,Maharashtra,"814 Sector, Mumbai, Maharashtra",18.846564,73.159964,Kidnapping,IPC 420,RK Puram,Under Investigation
FIR1144,2023-06-04 03:43:35,Prayagraj,Uttar Pradesh,"272 Gali, Prayagraj, Uttar Pradesh",25.312703,82.018816,Burglary,IPC 363,RK Puram,Under Investigation
FIR1145,2023-04-10 04:29:56,Guwahati,Assam,"585 Sector, Guwahati, Assam",25.994008,91.507663,Theft,IPC 376,RK Puram,Charge Sheet Filed
FIR1146,2023-07-13 21:50:52,Kolkata,West Bengal,"655 Main Road, Kolkata, West Bengal",22.854376,88.606689,Harassment,IPC 498A,Dwarka,Closed
FIR1147,2023-11-30 15:04:56,Mumbai,Maharashtra,"368 Gali, Mumbai, Maharashtra",19.198938,72.755409,Fraud,IPC 498A,Chanakyapuri,Closed
FIR1148,2024-03-01 20:00:08,Kolkata,West Bengal,"930 Sector, Kolkata, West Bengal",22.448566,88.406057,Fraud,IPC 323,Gurgaon East,Closed
FIR1149,2023-03-23 17:58:14,Guwahati,Assam,"150 Main Road, Guwahati, Assam",26.434912,91.63805,Harassment,IPC 363,RK Puram,Closed
FIR1150,2025-12-02 23:44:50,Bangalore,Karnataka,"319 Gali, Bangalore, Karnataka",12.997402,77.295253,Harassment,IPC 376,Lajpat Nagar,Closed
FIR1151,2024-11-10 01:26:41,Lucknow,Uttar Pradesh,"241 Gali, Lucknow, Uttar Pradesh",26.910533,80.696565,Dowry,IPC 392,Chanakyapuri,Charge Sheet Filed
FIR1152,2025-02-13 14:36:56,Jaipur,Rajasthan,"738 Main Road, Jaipur, Rajasthan",26.863299,75.968595,Burglary,IPC 376,Lajpat Nagar,Under Investigation
FIR1153,2024-08-16 05:09:01,Mumbai,Maharashtra,"509 Gali, Mumbai, Maharashtra",19.110283,72.716697,Harassment,IPC 420,Lajpat Nagar,Under Investigation
FIR1154,2023-12-19 09:09:39,Patna,Bihar,"503 Gali, Patna, Bihar",25.576625,85.389416,Harassment,IPC 323,Karol Bagh,Under Investigation
FIR1155,2023-03-26 13:05:00,Patna,Bihar,"627 Sector, Patna, Bihar",25.467951,85.198607,Murder,IPC 323,Karol Bagh,Under Investigation
