Call_ID,Timestamp,City,State,Latitude,Longitude,Emergency_Type,Priority,Response_Time(min),Resolved
1120044,2024-12-11 00:39:02,Bangalore,Karnataka,12.975403,77.456478,Eve Teasing,Medium,33,No
1120045,2024-10-08 22:48:10,Kolkata,West Bengal,22.319685,88.466787,Eve Teasing,Medium,49,Yes
1120046,2025-11-17 05:04:07,Delhi,Delhi,28.469742,77.363776,Kidnapping,Medium,20,No
1120047,2025-01-01 15:03:53,Mumbai,Maharashtra,19.063303,73.012895,Robbery,High,59,Yes
1120048,2023-09-04 20:41:36,Mumbai,Maharashtra,19.341738,72.690093,Road Accident,Medium,2,Yes
1120049,2024-11-18 05:07:03,Guwahati,Assam,26.162251,91.519649,Fire,Medium,18,Yes
1120050,2024-04-29 03:17:12,Prayagraj,Uttar Pradesh,25.681984,81.678922,Kidnapping,High,33,Yes
1120051,2023-05-29 23:16:10,Guwahati,Assam,26.111745,91.600779,Robbery,Medium,5,No
1120052,2024-06-10 01:49:31,Guwahati,Assam,26.209273,91.589362,Kidnapping,Low,7,No
1120053,2024-04-20 00:42:49,Chennai,Tamil Nadu,12.948702,80.257165,Fire,High,47,No
1120054,2023-08-25 06:27:00,Guwahati,Assam,25.87813,91.579945,Kidnapping,High,15,Yes
1120055,2024-03-09 19:45:16,Patna,Bihar,25.452222,85.211615,Robbery,High,53,Yes
1120056,2023-07-20 19:02:55,Delhi,Delhi,28.551072,77.405468,Fire,Medium,33,No
1120057,2025-03-01 13:18:50,Lucknow,Uttar Pradesh,27.02135,81.02999,Eve Teasing,High,19,Yes
1120058,2025-01-20 22:46:56,Srinagar,Jammu & Kashmir,33.847414,75.003702,Medical Emergency,Low,12,Yes
1120059,2024-03-29 04:43:57,Lucknow,Uttar Pradesh,26.724667,80.875611,Fire,High,2,Yes
1120060,2025-01-17 05:48:35,Guwahati,Assam,26.310008,91.556796,Medical Emergency,Low,10,Yes
1120061,2025-10-18 09:17:58,Mumbai,Maharashtra,19.070899,73.0575,Robbery,High,20,No
1120062,2024-08-02 00:26:02,Patna,Bihar,25.495947,85.407747,Kidnapping,Low,28,No
1120063,2024-12-14 06:20:06,Srinagar,Jammu & Kashmir,34.272416,74.81709,Road Accident,Medium,1,No
1120064,2025-09-28 03:19:37,Hyderabad,Telangana,17.562827,78.560465,Theft,High,59,No
1120065,2024-08-08 22:50:56,Kolkata,West Bengal,22.691829,88.143929,Fire,High,24,No
1120066,2024-05-22 20:50:48,Patna,Bihar,25.49143,85.020027,Robbery,Low,17,Yes
1120067,2024-12-31 14:55:43,Delhi,Delhi,28.7041,77.41365,Chain Snatching,Low,52,Yes
1120068,2024-06-11 12:47:32,Delhi,Delhi,28.799497,77.105398,Road Accident,Low,46,Yes
1120069,2024-02-23 10:43:31,Lucknow,Uttar Pradesh,27.104478,80.824486,Fire,Low,27,Yes
1120070,2025-11-22 21:55:47,Kolkata,West Bengal,22.320867,88.461793,Kidnapping,High,51,Yes
1120071,2025-12-18 13:36:34,Jaipur,Rajasthan,26.81086,75.546689,Road Accident,Medium,34,Yes
1120072,2025-04-01 18:31:11,Mumbai,Maharashtra,18.899266,72.85126,Robbery,High,37,No
1120073,2023-10-14 01:09:49,Chennai,Tamil Nadu,12.846535,80.565618,Road Accident,High,23,Yes
1120074,2023-10-27 10:36:28,Hyderabad,Telangana,17.141684,78.196606,Medical Emergency,Medium,8,Yes
1120075,2023-12-07 21:55:45,Kolkata,West Bengal,22.501147,88.57341,Robbery,High,24,Yes
1120076,2025-03-13 17:31:09,Lucknow,Uttar Pradesh,27.113619,80.970874,Theft,High,52,Yes
1120077,2023-11-01 18:08:29,Lucknow,Uttar Pradesh,26.790254,80.785275,Theft,Medium,8,No
1120078,2023-02-06 17:07:14,Delhi,Delhi,28.759531,77.192552,Domestic Abuse,High,2,No
1120079,2023-12-07 06:39:55,Mumbai,Maharashtra,18.965399,72.877334,Domestic Abuse,Low,3,No
1120080,2024-12-14 04:35:02,Delhi,Delhi,28.820492,76.979229,Medical Emergency,Low,9,Yes
1120081,2025-04-13 14:37:03,Mumbai,Maharashtra,19.296104,72.912855,Medical Emergency,Medium,34,No
1120082,2023-12-24 07:07:31,Mumbai,Maharashtra,19.163838,73.115541,Robbery,High,40,No
1120083,2023-03-16 17:43:33,Patna,Bihar,25.596401,85.262549,Kidnapping,Low,17,Yes
1120084,2025-11-01 01:49:44,Mumbai,Maharashtra,19.326283,72.67098,Road Accident,Medium,39,Yes
1120085,2024-10-12 23:29:58,Lucknow,Uttar Pradesh,26.937043,80.827282,Chain Snatching,Low,14,Yes
1120086,2023-01-16 16:35:54,Lucknow,Uttar Pradesh,26.852798,81.240633,Domestic Abuse,Low,53,No
1120087,2023-05-20 05:26:04,Patna,Bihar,25.375647,85.393001,Chain Snatching,Medium,31,No
1120088,2024-08-04 07:23:07,Guwahati,Assam,26.218864,91.915293,Domestic Abuse,High,26,No
1120089,2025-01-02 16:36:50,Jaipur,Rajasthan,27.185108,75.967288,Fire,Low,43,Yes
1120090,2024-08-21 16:03:51,Patna,Bihar,25.809776,85.307294,Theft,High,35,Yes
1120091,2025-06-01 03:25:18,Lucknow,Uttar Pradesh,26.756067,81.132359,Medical Emergency,Low,25,No
1120092,2025-03-26 15:27:08,Mumbai,Maharashtra,19.304922,72.803475,Robbery,High,39,No
1120093,2023-11-13 15:03:24,Hyderabad,Telangana,17.137291,78.22796,Chain Snatching,Low,38,No
1120094,2023-08-20 00:05:36,Delhi,Delhi,28.734333,77.115412,Eve Teasing,High,48,No
1120095,2025-03-28 14:41:44,Bangalore,Karnataka,12.794346,77.355105,Robbery,Medium,13,No
1120096,2023-01-24 07:04:28,Lucknow,Uttar Pradesh,26.912487,80.966914,Chain Snatching,Medium,59,No
1120097,2024-07-25 15:56:04,Kolkata,West Bengal,22.720173,88.605269,Chain Snatching,Low,41,Yes
1120098,2023-02-16 22:19:55,Delhi,Delhi,28.680848,76.989268,Kidnapping,Medium,15,No
1120099,2024-10-29 05:25:37,Mumbai,Maharashtra,19.012398,73.170925,Domestic Abuse,Medium,26,No
1120100,2023-05-03 02:33:22,Lucknow,Uttar Pradesh,26.725771,80.915,Fire,High,13,Yes
1120101,2024-06-28 20:25:51,Hyderabad,Telangana,17.33664,78.407496,Eve Teasing,Medium,26,Yes
1120102,2024-07-27 17:39:50,Guwahati,Assam,26.166684,91.564489,Road Accident,Medium,51,Yes
1120103,2025-07-12 13:31:50,Prayagraj,Uttar Pradesh,25.170452,81.69858,Robbery,Low,36,Yes
1120104,2024-08-25 22:10:27,Bangalore,Karnataka,12.967892,77.479029,Eve Teasing,Medium,19,No
1120105,2024-12-15 17:01:09,Mumbai,Maharashtra,18.825453,72.623058,Road Accident,Medium,21,Yes
1120106,2024-10-10 05:38:41,Prayagraj,Uttar Pradesh,25.152102,81.814938,Robbery,High,10,No
1120107,2024-02-08 04:49:57,Guwahati,Assam,26.217173,91.801559,Theft,High,59,Yes
1120108,2023-12-24 05:12:21,Lucknow,Uttar Pradesh,27.133352,81.031902,Theft,Medium,28,No
1120109,2024-11-16 21:26:37,Kolkata,West Bengal,22.726355,88.355495,Theft,High,34,Yes
1120110,2025-08-15 17:31:31,Chennai,Tamil Nadu,13.086817,80.246069,Road Accident,High,46,Yes
1120111,2023-04-11 16:46:22,Patna,Bihar,25.628883,85.164243,Medical Emergency,Low,46,Yes
1120112,2023-08-22 22:27:34,Patna,Bihar,25.550366,84.933153,Domestic Abuse,Low,33,No
1120113,2025-02-09 14:45:23,Kolkata,West Bengal,22.359108,88.335895,Domestic Abuse,Medium,30,No
1120114,2025-07-08 04:53:54,Hyderabad,Telangana,17.393797,78.51898,Chain Snatching,Low,60,No
1120115,2024-02-26 04:53:34,Prayagraj,Uttar Pradesh,25.223285,81.683134,Theft,Medium,10,No
1120116,2024-12-07 10:12:08,Guwahati,Assam,25.866363,91.476633,Theft,Low,56,Yes
1120117,2024-01-27 18:07:18,Kolkata,West Bengal,22.86331,88.323195,Medical Emergency,High,13,No
1120118,2024-02-23 13:11:40,Patna,Bihar,25.459274,85.008155,Kidnapping,Low,23,No
1120119,2025-11-05 09:55:44,Bangalore,Karnataka,13.151414,77.543559,Domestic Abuse,Low,17,No
1120120,2023-06-09 17:51:45,Patna,Bihar,25.337453,85.392551,Chain Snatching,High,24,Yes
1120121,2025-03-03 08:27:05,Patna,Bihar,25.43594,84.998487,Eve Teasing,Low,6,Yes
1120122,2023-11-29 15:32:49,Srinagar,Jammu & Kashmir,34.259853,74.994832,Robbery,High,22,No
1120123,2024-07-18 07:53:50,Jaipur,Rajasthan,26.710262,76.006523,Medical Emergency,Medium,28,Yes
1120124,2023-11-17 06:40:38,Lucknow,Uttar Pradesh,26.823495,80.814904,Fire,Low,27,Yes
1120125,2025-08-06 06:18:23,Bangalore,Karnataka,12.737967,77.854933,Domestic Abuse,Low,40,Yes
1120126,2024-09-09 03:29:52,Kolkata,West Bengal,22.812014,88.577294,Fire,High,18,Yes
1120127,2025-06-05 18:02:48,Mumbai,Maharashtra,19.098883,73.030976,Eve Teasing,Medium,19,Yes
1120128,2025-02-23 04:03:18,Delhi,Delhi,28.696081,77.428391,Robbery,Low,55,Yes
1120129,2025-12-19 22:53:10,Delhi,Delhi,28.573366,77.216993,Road Accident,High,6,No
1120130,2025-12-05 18:04:10,Kolkata,West Bengal,22.665933,88.107166,Medical Emergency,Low,45,Yes
1120131,2023-05-12 18:17:10,Srinagar,Jammu & Kashmir,33.875762,74.651186,Domestic Abuse,High,8,Yes
1120132,2023-02-20 05:43:00,Chennai,Tamil Nadu,13.154721,80.184798,Domestic Abuse,High,17,Yes
1120133,2025-09-18 08:19:32,Chennai,Tamil Nadu,12.887252,80.393309,Eve Teasing,High,20,No
1120134,2024-03-12 10:20:04,Chennai,Tamil Nadu,12.905439,80.062033,Domestic Abuse,Medium,24,No
1120135,2023-04-18 06:42:52,Patna,Bihar,25.515002,85.230509,Road Accident,Medium,7,Yes
1120136,2024-10-04 18:35:11,Hyderabad,Telangana,17.267933,78.227576,Eve Teasing,Low,1,Yes
1120137,2023-01-30 03:33:38,Prayagraj,Uttar Pradesh,25.50829,81.772749,Fire,Medium,49,Yes
1120138,2023-09-20 21:06:43,Patna,Bihar,25.622801,84.962004,Theft,Low,4,Yes
1120139,2023-11-25 06:55:47,Mumbai,Maharashtra,19.116657,72.593763,Theft,Medium,57,No
1120140,2024-11-20 22:10:20,Lucknow,Uttar Pradesh,27.048323,81.106807,Medical Emergency,Medium,24,No
1120141,2023-09-07 11:50:54,Hyderabad,Telangana,17.636104,78.455965,Medical Emergency,Medium,44,No
1120142,2024-04-20 22:45:09,Guwahati,Assam,26.178723,91.861353,Robbery,High,42,No
1120143,2024-01-07 10:57:48,Mumbai,Maharashtra,18.846564,73.159964,Medical Emergency,Low,60,No
1120144,2024-02-18 10:48:45,Prayagraj,Uttar Pradesh,25.312703,82.018816,Medical Emergency,High,38,No
1120145,2023-03-17 18:06:51,Guwahati,Assam,25.994008,91.507663,Eve Teasing,High,16,Yes
1120146,2024-12-17 00:54:14,Kolkata,West Bengal,22.854376,88.606689,Fire,Medium,36,No
1120147,2025-07-26 14:47:43,Mumbai,Maharashtra,19.198938,72.755409,Theft,Low,39,Yes
1120148,2024-11-25 02:08:30,Kolkata,West Bengal,22.448566,88.406057,Theft,High,19,No
1120149,2023-10-11 13:41:37,Guwahati,Assam,26.434912,91.63805,Eve Teasing,Medium,29,No
1120150,2025-03-07 14:11:33,Bangalore,Karnataka,12.997402,77.295253,Road Accident,Low,43,Yes
1120151,2023-08-30 21:15:36,Lucknow,Uttar Pradesh,26.910533,80.696565,Eve Teasing,Low,7,Yes
1120152,2023-02-15 22:15:32,Jaipur,Rajasthan,26.863299,75.968595,Domestic Abuse,Low,15,No
1120153,2024-03-25 03:18:22,Mumbai,Maharashtra,19.110283,72.716697,Kidnapping,Medium,28,Yes
1120154,2024-12-06 23:33:50,Patna,Bihar,25.576625,85.389416,Domestic Abuse,Low,50,No
1120155,2024-08-17 04:36:00,Patna,Bihar,25.467951,85.198607,Eve Teasing,Low,34,No
1120156,2023-08-24 10:02:55,Bangalore,Karnataka,12.783741,77.651057,Chain Snatching,Medium,50,Yes
1120157,2023-03-29 23:00:16,Bangalore,Karnataka,12.975658,77.813347,Theft,Medium,38,No
1120158,2023-12-29 22:37:57,Kolkata,West Bengal,22.645425,88.439669,Domestic Abuse,Medium,15,Yes
1120159,2025-09-13 23:30:28,Jaipur,Rajasthan,27.100323,75.981394,Chain Snatching,Medium,27,Yes
1120160,2024-12-22 14:14:02,Srinagar,Jammu & Kashmir,34.005475,74.740002,Road Accident,Medium,55,Yes
1120161,2023-01-11 18:37:55,Kolkata,West Bengal,22.688988,88.27306,Medical Emergency,Medium,10,No
1120162,2025-10-02 14:28:44,Kolkata,West Bengal,22.358365,88.648796,Road Accident,Medium,21,No
1120163,2025-12-02 08:49:48,Mumbai,Maharashtra,19.026706,73.072734,Kidnapping,High,34,No
1120164,2023-06-15 02:21:58,Prayagraj,Uttar Pradesh,25.334791,82.034815,Fire,Low,11,No
1120165,2023-06-23 00:40:47,Lucknow,Uttar Pradesh,26.587742,80.899291,Robbery,Low,7,No
1120166,2025-04-06 11:59:42,Chennai,Tamil Nadu,12.935027,80.348675,Chain Snatching,Medium,51,Yes
1120167,2024-10-23 05:22:06,Srinagar,Jammu & Kashmir,34.247399,74.753048,Kidnapping,Medium,25,Yes
1120168,2023-06-13 22:14:55,Srinagar,Jammu & Kashmir,34.092831,75.028718,Chain Snatching,Low,20,Yes
1120169,2024-08-17 05:14:01,Chennai,Tamil Nadu,12.893665,80.315161,Eve Teasing,Medium,31,No
1120170,2024-01-12 13:22:40,Mumbai,Maharashtra,18.7789,72.74804,Theft,High,52,No
1120171,2025-06-27 17:50:42,Prayagraj,Uttar Pradesh,25.411469,81.909626,Robbery,High,2,Yes
1120172,2023-08-08 23:43:44,Jaipur,Rajasthan,26.9009,75.983864,Road Accident,High,8,No
1120173,2023-02-22 04:56:47,Guwahati,Assam,26.112242,91.566324,Chain Snatching,Low,58,No
1120174,2023-07-29 13:38:56,Chennai,Tamil Nadu,13.02723,80.374392,Robbery,Low,23,No
1120175,2024-10-24 02:34:53,Lucknow,Uttar Pradesh,26.999704,80.870003,Kidnapping,High,12,No
1120176,2025-08-14 16:50:34,Lucknow,Uttar Pradesh,27.074022,80.846746,Robbery,Low,5,Yes
1120177,2025-09-13 20:17:02,Lucknow,Uttar Pradesh,26.689407,80.783905,Medical Emergency,High,35,No
1120178,2024-03-18 13:06:45,Jaipur,Rajasthan,27.119433,76.059026,Road Accident,Medium,14,No
1120179,2023-07-05 16:31:48,Bangalore,Karnataka,12.903192,77.461863,Chain Snatching,Low,30,Yes
1120180,2025-06-25 19:58:40,Lucknow,Uttar Pradesh,26.992753,81.015889,Chain Snatching,High,35,Yes
1120181,2025-06-20 05:52:45,Mumbai,Maharashtra,18.939475,72.747698,Road Accident,Medium,58,No
1120182,2023-07-06 10:23:46,Prayagraj,Uttar Pradesh,25.572022,81.627074,Road Accident,Medium,59,Yes
1120183,2023-10-28 01:44:14,Jaipur,Rajasthan,26.902949,75.83117,Domestic Abuse,Low,20,Yes
1120184,2024-08-22 11:03:25,Lucknow,Uttar Pradesh,26.900653,81.028664,Medical Emergency,High,43,Yes
1120185,2025-10-26 16:23:17,Kolkata,West Bengal,22.388638,88.274036,Road Accident,Medium,49,No
1120186,2024-09-06 14:41:49,Mumbai,Maharashtra,18.844829,72.867681,Medical Emergency,Low,48,Yes
1120187,2024-03-07 06:44:17,Srinagar,Jammu & Kashmir,34.000987,74.65703,Eve Teasing,Low,1,No
1120188,2025-03-19 11:00:02,Kolkata,West Bengal,22.721059,88.399525,Kidnapping,High,18,No
1120189,2025-05-05 12:34:00,Lucknow,Uttar Pradesh,27.084549,80.652235,Chain Snatching,Medium,54,No
1120190,2024-12-27 11:08:27,Prayagraj,Uttar Pradesh,25.584334,81.88939,Theft,Low,44,Yes
1120191,2024-06-21 09:34:32,Patna,Bihar,25.767954,85.151702,Fire,High,33,Yes
1120192,2025-01-13 18:48:17,Srinagar,Jammu & Kashmir,33.96586,74.594892,Road Accident,Medium,17,Yes
1120193,2024-02-28 17:56:58,Prayagraj,Uttar Pradesh,25.598608,81.979925,Fire,Medium,56,No
1120194,2025-07-10 16:20:44,Mumbai,Maharashtra,18.967009,72.98016,Medical Emergency,High,1,Yes
1120195,2024-01-26 12:34:48,Srinagar,Jammu & Kashmir,34.133209,74.833659,Eve Teasing,High,48,Yes
1120196,2025-01-16 00:51:37,Hyderabad,Telangana,17.105292,78.410625,Robbery,High,55,Yes
1120197,2023-03-17 00:55:22,Jaipur,Rajasthan,26.826158,75.836739,Chain Snatching,Low,4,No
1120198,2024-03-14 20:22:29,Patna,Bihar,25.535463,85.20692,Eve Teasing,Low,2,Yes
1120199,2024-09-16 17:18:50,Srinagar,Jammu & Kashmir,33.808565,74.849054,Eve Teasing,Medium,18,No
1120200,2023-10-16 11:35:00,Delhi,Delhi,28.674251,76.924409,Theft,Medium,33,No
1120201,2023-08-27 15:40:40,Guwahati,Assam,26.323847,91.97921,Kidnapping,Low,49,Yes
1120202,2023-08-08 08:45:03,Delhi,Delhi,28.892886,77.469778,Kidnapping,Low,37,No
1120203,2024-09-30 03:22:56,Delhi,Delhi,28.815433,77.284685,Domestic Abuse,Medium,24,No
1120204,2024-02-24 09:43:38,Kolkata,West Bengal,22.759011,88.412511,Kidnapping,Medium,13,No
1120205,2025-06-17 16:10:55,Chennai,Tamil Nadu,13.28219,80.164433,Eve Teasing,High,23,No
1120206,2023-03-26 19:47:50,Delhi,Delhi,28.777713,76.961543,Kidnapping,Low,13,Yes
1120207,2025-03-02 22:44:16,Prayagraj,Uttar Pradesh,25.335043,81.629453,Road Accident,Low,29,No
1120208,2024-12-07 05:12:09,Hyderabad,Telangana,17.360041,78.760817,Fire,Medium,54,No
1120209,2023-01-11 22:50:12,Bangalore,Karnataka,13.205298,77.763389,Chain Snatching,Medium,11,No
1120210,2025-11-14 08:09:28,Guwahati,Assam,26.127018,91.463008,Theft,High,52,No
1120211,2023-06-08 23:01:40,Guwahati,Assam,26.066637,91.511331,Road Accident,Medium,47,No
1120212,2025-02-17 02:47:13,Prayagraj,Uttar Pradesh,25.434272,81.763067,Fire,Low,44,No
1120213,2023-05-12 05:57:14,Guwahati,Assam,26.273343,91.499945,Fire,High,15,No
1120214,2023-03-12 06:21:57,Srinagar,Jammu & Kashmir,33.807774,74.709648,Fire,High,31,Yes
1120215,2023-03-24 18:59:05,Guwahati,Assam,25.877036,91.937648,Robbery,Low,8,No
1120216,2023-10-05 12:06:17,Bangalore,Karnataka,13.270951,77.674274,Kidnapping,Low,23,Yes
1120217,2024-07-10 02:55:20,Patna,Bihar,25.38614,85.3698,Domestic Abuse,Low,33,Yes
1120218,2024-03-05 10:20:22,Guwahati,Assam,26.363342,91.617759,Domestic Abuse,Medium,21,Yes
1120219,2024-02-01 15:39:02,Srinagar,Jammu & Kashmir,33.99419,74.617849,Kidnapping,High,11,Yes
1120220,2023-09-02 23:14:24,Bangalore,Karnataka,12.929913,77.651556,Kidnapping,High,48,No
1120221,2024-04-12 09:10:27,Chennai,Tamil Nadu,13.141185,80.033366,Eve Teasing,Medium,30,Yes
1120222,2024-09-28 08:50:12,Patna,Bihar,25.484197,84.990779,Eve Teasing,Low,25,Yes
1120223,2025-07-21 00:54:14,Kolkata,West Bengal,22.644696,88.463931,Fire,Low,9,No
1120224,2024-09-07 19:04:30,Chennai,Tamil Nadu,12.989805,80.48872,Road Accident,High,3,No
1120225,2025-06-23 03:41:14,Guwahati,Assam,25.867682,91.862276,Road Accident,High,24,No
1120226,2024-09-18 06:35:23,Srinagar,Jammu & Kashmir,33.849048,75.048276,Medical Emergency,High,28,Yes
1120227,2024-01-24 20:32:29,Patna,Bihar,25.681313,85.384265,Medical Emergency,Low,57,Yes
1120228,2023-06-25 17:51:11,Guwahati,Assam,26.039697,91.602336,Domestic Abuse,Low,50,No
1120229,2023-09-30 15:59:34,Prayagraj,Uttar Pradesh,25.306502,82.068549,Road Accident,Low,40,No
1120230,2024-07-18 12:43:18,Chennai,Tamil Nadu,12.9232,79.978169,Kidnapping,Low,33,No
1120231,2023-10-25 16:38:57,Mumbai,Maharashtra,19.028364,72.596725,Road Accident,High,60,No
1120232,2024-05-25 06:17:24,Mumbai,Maharashtra,19.167781,73.105756,Chain Snatching,High,31,Yes
1120233,2025-01-29 04:08:53,Srinagar,Jammu & Kashmir,33.798165,74.735265,Eve Teasing,Low,35,No
1120234,2024-05-10 05:31:44,Delhi,Delhi,28.675464,77.304992,Domestic Abuse,Low,31,No
1120235,2024-07-17 05:21:22,Prayagraj,Uttar Pradesh,25.493928,81.865447,Domestic Abuse,Medium,27,No
1120236,2023-10-08 06:35:20,Prayagraj,Uttar Pradesh,25.442511,82.000186,Chain Snatching,Low,44,Yes
1120237,2024-03-20 21:46:31,Hyderabad,Telangana,17.320282,78.733979,Kidnapping,High,6,No
1120238,2024-10-21 02:47:42,Kolkata,West Bengal,22.762347,88.140428,Eve Teasing,High,23,Yes
1120239,2024-09-28 03:13:45,Guwahati,Assam,26.017796,91.623662,Robbery,High,51,Yes
1120240,2025-11-30 16:10:37,Delhi,Delhi,28.562329,77.108557,Medical Emergency,Low,11,No
1120241,2023-09-05 03:43:21,Prayagraj,Uttar Pradesh,25.425409,81.853056,Road Accident,Medium,56,No
1120242,2023-05-13 11:39:50,Patna,Bihar,25.810108,85.303002,Road Accident,Medium,27,Yes
1120243,2023-09-28 16:40:39,Delhi,Delhi,28.572784,77.455958,Chain Snatching,Low,41,Yes
1120244,2024-08-04 11:33:40,Bangalore,Karnataka,13.225032,77.473059,Fire,High,18,No
1120245,2025-11-30 17:21:57,Prayagraj,Uttar Pradesh,25.530646,82.041409,Road Accident,Low,44,No
1120246,2024-07-29 08:44:20,Delhi,Delhi,28.86109,77.034838,Kidnapping,High,13,Yes
1120247,2023-03-11 21:00:29,Prayagraj,Uttar Pradesh,25.497886,81.682197,Kidnapping,Medium,13,No
1120248,2024-07-18 13:11:42,Lucknow,Uttar Pradesh,26.602509,80.658233,Road Accident,Low,32,Yes
1120249,2024-01-10 20:53:14,Jaipur,Rajasthan,26.97457,75.903376,Kidnapping,High,5,No
1120250,2023-12-09 17:49:30,Jaipur,Rajasthan,26.620608,75.66383,Chain Snatching,Low,11,No
1120251,2023-08-25 20:33:48,Lucknow,Uttar Pradesh,26.630453,81.083065,Kidnapping,Medium,50,No
1120252,2023-04-12 05:27:33,Hyderabad,Telangana,17.385697,78.648579,Eve Teasing,Low,20,Yes
1120253,2023-10-18 04:29:52,Srinagar,Jammu & Kashmir,34.150214,74.590596,Kidnapping,Medium,11,No
